dataset_id,title,organization,sector,tags,formats,num_resources,metadata_created,metadata_modified,description,source_url
14302304-2690-46fa-a323-20b85a12a630,"Final Population Totals for Moradabad District of Uttar Pradesh, 2001","Ministry of Home Affairs|Department of Home|Registrar General and Census Commissioner, India",Census and Surveys|Census|Population Enumerator,,,20,2022-02-22,2022-06-20,"Final Population Totals for Moradabad District of Uttar Pradesh, 2001",https://www.data.gov.in/resource/14302304-2690-46fa-a323-20b85a12a630
ed384a7f-1ebd-4d37-9843-f88648ad2e04,6th Minor Irrigation Census - Village Schedule - Uttar Pradesh,"Department of Water Resources, River Development &amp|Ganga Rejuvenation",Water Resources,,,21,2026-02-10,2026-02-10,6th Minor Irrigation Census - Village Schedule - Uttar Pradesh,https://www.data.gov.in/resource/ed384a7f-1ebd-4d37-9843-f88648ad2e04
212763d2-514c-42f0-a25b-4f5b23dacf39,"Distribution of Scheduled Tribe Population by Sex , 1991 - Uttar Pradesh","Ministry of Home Affairs|Department of Home|Registrar General and Census Commissioner, India",Census and Surveys|Census|Population Enumerator,,,9,2019-10-18,2019-10-18,"Distribution of Scheduled Tribe Population by Sex , 1991 - Uttar Pradesh",https://www.data.gov.in/resource/212763d2-514c-42f0-a25b-4f5b23dacf39
cbcc5a82-2726-44df-8843-d8516747c7f8,"Marital Status by Religious Community and Sex, 2001 - Uttar Pradesh","Ministry of Home Affairs|Department of Home|Registrar General and Census Commissioner, India",Census and Surveys|Census|Population Enumerator,,,33,2020-07-09,2020-07-09,"Marital Status by Religious Community and Sex, 2001 - Uttar Pradesh",https://www.data.gov.in/resource/cbcc5a82-2726-44df-8843-d8516747c7f8
ffd68835-e9e6-4536-bcc8-18e27d88e95f,"Primary Census Abstract for Shrawasti District of Uttar Pradesh, 2001","Ministry of Home Affairs|Department of Home|Registrar General and Census Commissioner, India",Census and Surveys|Census|Population Enumerator,,,66,2020-01-20,2022-04-29,"Primary Census Abstract for Shrawasti District of Uttar Pradesh, 2001",https://www.data.gov.in/resource/ffd68835-e9e6-4536-bcc8-18e27d88e95f
64163881-5862-421a-8e51-00f44e262e76,"Primary Census Abstract for Budaun District of Uttar Pradesh, 2001","Ministry of Home Affairs|Department of Home|Registrar General and Census Commissioner, India",Census and Surveys|Census|Population Enumerator,,,66,2020-01-20,2022-04-29,"Primary Census Abstract for Budaun District of Uttar Pradesh, 2001",https://www.data.gov.in/resource/64163881-5862-421a-8e51-00f44e262e76
80a67fb4-3fbe-412c-9fab-77927523f307,"Primary Census Abstract for Jhansi District of Uttar Pradesh, 2001","Ministry of Home Affairs|Department of Home|Registrar General and Census Commissioner, India",Census and Surveys|Census|Population Enumerator,,,66,2020-01-20,2022-04-29,"Primary Census Abstract for Jhansi District of Uttar Pradesh, 2001",https://www.data.gov.in/resource/80a67fb4-3fbe-412c-9fab-77927523f307
4b83ee16-9258-4fb9-9f2c-f2efcc499e9b,"Primary Census Abstract for Moradabad District of Uttar Pradesh, 2001","Ministry of Home Affairs|Department of Home|Registrar General and Census Commissioner, India",Census and Surveys|Census|Population Enumerator,,,66,2020-01-21,2022-04-29,"Primary Census Abstract for Moradabad District of Uttar Pradesh, 2001",https://www.data.gov.in/resource/4b83ee16-9258-4fb9-9f2c-f2efcc499e9b
dc412897-d15e-405f-b7c8-837e50b93807,"Primary Census Abstract for Gonda District of Uttar Pradesh, 2001","Ministry of Home Affairs|Department of Home|Registrar General and Census Commissioner, India",Census and Surveys|Census|Population Enumerator,,,66,2020-01-20,2022-04-29,"Primary Census Abstract for Gonda District of Uttar Pradesh, 2001",https://www.data.gov.in/resource/dc412897-d15e-405f-b7c8-837e50b93807
4556db95-e1b5-4230-9015-10ae3f603704,"Primary Census Abstract for Fatehpur District of Uttar Pradesh, 2001","Ministry of Home Affairs|Department of Home|Registrar General and Census Commissioner, India",Census and Surveys|Census|Population Enumerator,,,66,2020-01-21,2022-04-29,"Primary Census Abstract for Fatehpur District of Uttar Pradesh, 2001",https://www.data.gov.in/resource/4556db95-e1b5-4230-9015-10ae3f603704
